figure,scenario,year,label,cost_ntd_per_tco2
B,Conservative,2043,Battery Electric Truck,25635.528938513027
B,Conservative,2044,Battery Electric Truck,25180.220747683405
B,Conservative,2045,Battery Electric Truck,24740.803618348575
B,Conservative,2046,Battery Electric Truck,24316.45988033018
B,Conservative,2047,Battery Electric Truck,23906.42701484081
B,Conservative,2048,Battery Electric Truck,23509.993081679586
B,Conservative,2049,Battery Electric Truck,23126.492593983727
B,Conservative,2050,Battery Electric Truck,22755.30279025176
B,Conservative,2025,Blue Hydrogen Truck,460972.8419508977
B,Conservative,2026,Blue Hydrogen Truck,312214.79648957384
B,Conservative,2027,Blue Hydrogen Truck,235987.4307876955
B,Conservative,2028,Blue Hydrogen Truck,189641.81565717302
B,Conservative,2029,Blue Hydrogen Truck,158486.66703565535
B,Conservative,2030,Blue Hydrogen Truck,136105.22620494102
B,Conservative,2031,Blue Hydrogen Truck,119247.63351296488
B,Conservative,2032,Blue Hydrogen Truck,106094.21884222898
B,Conservative,2033,Blue Hydrogen Truck,95544.9419811085
B,Conservative,2034,Blue Hydrogen Truck,86896.10453417836
B,Conservative,2035,Blue Hydrogen Truck,79676.59849089425
B,Conservative,2036,Blue Hydrogen Truck,73558.43518015824
B,Conservative,2037,Blue Hydrogen Truck,68307.97741021302
B,Conservative,2038,Blue Hydrogen Truck,63752.855433442885
B,Conservative,2039,Blue Hydrogen Truck,59763.51913948839
B,Conservative,2040,Blue Hydrogen Truck,56240.71910965933
B,Conservative,2041,Blue Hydrogen Truck,53133.82910316443
B,Conservative,2042,Blue Hydrogen Truck,50352.234947882884
B,Conservative,2043,Blue Hydrogen Truck,47847.38969634956
B,Conservative,2044,Blue Hydrogen Truck,45579.94877023329
B,Conservative,2045,Blue Hydrogen Truck,43517.68815858953
B,Conservative,2046,Blue Hydrogen Truck,41633.9632985625
B,Conservative,2047,Blue Hydrogen Truck,39906.551606446286
B,Conservative,2048,Blue Hydrogen Truck,38316.77167322616
B,Conservative,2049,Blue Hydrogen Truck,36848.80492889736
B,Conservative,2050,Blue Hydrogen Truck,35489.167481086166
B,Conservative,2025,Green Hydrogen Truck,32150.42731341268
B,Conservative,2026,Green Hydrogen Truck,32040.264370389006
B,Conservative,2027,Green Hydrogen Truck,31930.76955345268
B,Conservative,2028,Green Hydrogen Truck,31821.936802813223
B,Conservative,2029,Green Hydrogen Truck,31713.760131741008
B,Conservative,2030,Green Hydrogen Truck,31606.233625469427
B,Conservative,2031,Green Hydrogen Truck,31499.114805896515
B,Conservative,2032,Green Hydrogen Truck,31392.63594691248
B,Conservative,2033,Green Hydrogen Truck,31286.79133061716
B,Conservative,2034,Green Hydrogen Truck,31181.575307025592
B,Conservative,2035,Green Hydrogen Truck,31076.982293062676
B,Conservative,2036,Green Hydrogen Truck,30972.76677282978
B,Conservative,2037,Green Hydrogen Truck,30869.164705597963
B,Conservative,2038,Green Hydrogen Truck,30766.170690728668
B,Conservative,2039,Green Hydrogen Truck,30663.779390791762
B,Conservative,2040,Green Hydrogen Truck,30561.985530643527
B,Conservative,2041,Green Hydrogen Truck,30473.08231391983
B,Conservative,2042,Green Hydrogen Truck,30384.69482657736
B,Conservative,2043,Green Hydrogen Truck,30296.818593959844
B,Conservative,2044,Green Hydrogen Truck,30209.449193026732
B,Conservative,2045,Green Hydrogen Truck,30122.5822516111
B,Conservative,2046,Green Hydrogen Truck,30036.213447690294
B,Conservative,2047,Green Hydrogen Truck,29950.338508669134
B,Conservative,2048,Green Hydrogen Truck,29864.953210675332
B,Conservative,2049,Green Hydrogen Truck,29780.05337786695
B,Conservative,2050,Green Hydrogen Truck,29695.63488175163
B,Reference,2025,Battery Electric Truck,104076.10518396783
B,Reference,2026,Battery Electric Truck,83091.39474437686
B,Reference,2027,Battery Electric Truck,68546.8504530203
B,Reference,2028,Battery Electric Truck,57859.807020569046
B,Reference,2029,Battery Electric Truck,49665.33021495115
B,Reference,2030,Battery Electric Truck,43174.17723199184
B,Reference,2031,Battery Electric Truck,38638.73503822223
B,Reference,2032,Battery Electric Truck,34795.64571188221
B,Reference,2033,Battery Electric Truck,31496.806287815994
B,Reference,2034,Battery Electric Truck,28633.5372419528
B,Reference,2035,Battery Electric Truck,26124.28327386134
B,Reference,2036,Battery Electric Truck,23847.093531947503
B,Reference,2037,Battery Electric Truck,21849.281556487666
B,Reference,2038,Battery Electric Truck,20082.389040705926
B,Reference,2039,Battery Electric Truck,18508.55198637266
B,Reference,2040,Battery Electric Truck,17097.75549207688
